event,wall_time_ns,timestamp_iso,mode,trial_number
HANDSTAND_START,1789641745005140600,2026-09-17T20:42:25.005,HandStand,53
HANDSTAND_CALL_RETURN,1789641750017275207,2026-09-17T20:42:30.017,HandStand,53
