event,wall_time_ns,timestamp_iso,mode,trial_number,vx,vy,vyaw
HANDSTAND_MOVE_START,1789620192301048360,2026-09-17T14:43:12.301,HandStandMove,2,0.4,0.25,0
HANDSTAND_MOVE_END,1789620199334117853,2026-09-17T14:43:19.334,HandStandMove,2,0.4,0.25,0
