event,wall_time_ns,timestamp_iso,vx,vy,vyaw
MOVE_START,1786505844002259675,2026-08-12T13:37:24.002,0,0,-0.6
MOVE_CALL_RETURN,1786505844002348538,2026-08-12T13:37:24.002,0,0,-0.6
