event,wall_time_ns,timestamp_iso,vx,vy,vyaw
MOVE_START,1786251892080368949,2026-08-09T15:04:52.080,0.2,0.15,0
MOVE_STOP,1786251894085166740,2026-08-09T15:04:54.085,0,0,0
