event,wall_time_ns,timestamp_iso,mode,trial_number
HANDSTAND_START,1789522078599261314,2026-09-16T11:27:58.599,HandStand,3
HANDSTAND_CALL_RETURN,1789522083612625161,2026-09-16T11:28:03.612,HandStand,3
