event,wall_time_ns,timestamp_iso,mode,trial_number
HANDSTAND_START,1789630298760239369,2026-09-17T17:31:38.760,HandStand,16
HANDSTAND_CALL_RETURN,1789630303780973327,2026-09-17T17:31:43.780,HandStand,16
