event,wall_time_ns,timestamp_iso,mode,trial_number
HANDSTAND_START,1789639417278376428,2026-09-17T20:03:37.278,HandStand,21
HANDSTAND_CALL_RETURN,1789639422302355756,2026-09-17T20:03:42.302,HandStand,21
