event,wall_time_ns,timestamp_iso,mode,trial_number
HANDSTAND_START,1789641175448756436,2026-09-17T20:32:55.448,HandStand,44
HANDSTAND_CALL_RETURN,1789641180473815944,2026-09-17T20:33:00.473,HandStand,44
