event,wall_time_ns,timestamp_iso,vx,vy,vyaw
MOVE_START,1786506380280393688,2026-08-12T13:46:20.280,0.4,-0.25,0
MOVE_CALL_RETURN,1786506380280494838,2026-08-12T13:46:20.280,0.4,-0.25,0
