event,wall_time_ns,timestamp_iso,vx,vy,vyaw
MOVE_START,1786086452501955473,2026-08-07T17:07:32.501,0.2,0.0001,0.005
MOVE_STOP,1786086455521057699,2026-08-07T17:07:35.521,0,0,0
