event,wall_time_ns,timestamp_iso,vx,vy,vyaw
MOVE_START,1786505288183440240,2026-08-12T13:28:08.183,0,-0.3,0
MOVE_CALL_RETURN,1786505288183539156,2026-08-12T13:28:08.183,0,-0.3,0
