event,wall_time_ns,timestamp_iso,mode,trial_number
HANDSTAND_START,1789641552718206362,2026-09-17T20:39:12.718,HandStand,51
HANDSTAND_CALL_RETURN,1789641557744374856,2026-09-17T20:39:17.744,HandStand,51
