file,vx,vy,vyaw,delta_x_body,delta_y_body,delta_theta
Tf_stationary_-0.4_0.0_0.0.csv,-0.4,0.0,0.0,-0.21821323282200444,0.03500686886681001,-0.1067145100000002
Tf_stationary_0.0_-0.3_0.0.csv,0.0,-0.3,0.0,-0.0022149599261886603,-0.13170913223696842,-0.1005577430000002
Tf_stationary_0.0_0.0_-0.6.csv,0.0,0.0,-0.6,-0.02530784118881897,-0.0035220341613117255,-0.395626759
Tf_stationary_0.0_0.0_0.12.csv,0.0,0.0,0.12,-0.012042710037911332,-0.0035099723132640008,-0.017192130999999833
Tf_stationary_0.0_0.0_0.6.csv,0.0,0.0,0.6,-0.009948441610074172,-0.004801314132937494,0.22187297299999995
Tf_stationary_0.0_0.0_1.2.csv,0.0,0.0,1.2,0.01728681963899529,0.02792041071846759,0.5822443719999999
Tf_stationary_0.0_0.1_0.0.csv,0.0,0.1,0.0,0.0009764686358082401,-0.0018254646452832805,0.005871135999999887
Tf_stationary_0.0_0.3_0.0.csv,0.0,0.3,0.0,0.040684308045027234,0.1693676177428892,-0.04634458400000008
Tf_stationary_0.0_0.3_0.5.csv,0.0,0.3,0.5,0.00030286437315696704,0.15545588978152203,0.18998915999999988
Tf_stationary_0.0_0.5_0.0.csv,0.0,0.5,0.0,-0.04661948197540885,0.25726267234309924,-0.05648756300000013
Tf_stationary_0.3_0.0_0.0.csv,0.3,0.0,0.0,0.1665754575648806,0.008010320736511114,-0.09234047500000009
Tf_stationary_0.4_-0.25_0.0.csv,0.4,-0.25,0.0,0.1813136172878441,-0.16632642897800815,-0.10901686099999995
Tf_stationary_0.4_-0.2_-0.4.csv,0.4,-0.2,-0.4,0.19343472856125,-0.17803415163273786,-0.34690427799999995
Tf_stationary_0.4_0.25_0.0.csv,0.4,0.25,0.0,0.24027575617541294,0.09806540999321714,-0.11617906000000011
Tf_stationary_0.4_0.2_0.4.csv,0.4,0.2,0.4,0.1931392759023742,0.08463575270926096,0.06926108999999991
Tf_stationary_0.5_0.0_-0.5.csv,0.5,0.0,-0.5,0.2704778743613838,-0.04786655454672312,-0.4199273829999999
Tf_stationary_0.5_0.0_0.5.csv,0.5,0.0,0.5,0.30450731681418935,0.022028438188997444,0.10533352500000004
Tf_stationary_0.8_0.0_0.0.csv,0.8,0.0,0.0,0.390074382386288,-0.007761438012411432,-0.16202094700000003
Tf_stationary_1.2_0.0_0.0.csv,1.2,0.0,0.0,0.5355095610505967,0.005262303519305959,-0.11638747400000014
