event,wall_time_ns,timestamp_iso,mode,trial_number
HANDSTAND_START,1789640549844216775,2026-09-17T20:22:29.844,HandStand,36
HANDSTAND_CALL_RETURN,1789640554869700495,2026-09-17T20:22:34.869,HandStand,36
