file,vx_cmd,vy_cmd,vyaw_cmd,x_start,y_start,theta_start,x_final,y_final,theta_final,delta_x_global,delta_y_global,delta_x_body,delta_y_body,delta_theta_rad,delta_theta_deg
Tf_stationary_-0.4_0.0_0.0.csv,-0.4,0.0,0.0,0.950345395,0.7870979309999999,1.395459379,0.834364452,0.55903354,1.279492205,-0.11598094300000006,-0.22806439099999987,-0.24479937364882304,0.07441916582785647,-0.11596717400000012,-6.64442963225926
Tf_stationary_0.0_-0.3_0.0.csv,0.0,-0.3,0.0,0.72269555,0.5937459820000001,1.212604402,0.816092739,0.614594224,1.120962494,0.09339718900000005,0.020848241999999906,0.05226837596867077,-0.08016047019067422,-0.09164190799999994,-5.250694554926172
Tf_stationary_0.0_0.0_-0.6.csv,0.0,0.0,-0.6,0.7954886990000001,0.41583498,1.678955407,0.8067129690000001,0.417036124,1.272990394,0.011224270000000036,0.0012011439999999873,-1.7515993612324645e-05,-0.01128834253252463,-0.4059650129999999,-23.260081874873592
Tf_stationary_0.0_0.0_0.6.csv,0.0,0.0,0.6,0.846794295,0.34620705700000004,1.616403838,0.810367043,0.359383257,1.8689182869999998,-0.03642725200000008,0.013176199999999971,0.014823279244511751,0.03578864802071652,0.25251444899999975,14.468012193771457
Tf_stationary_0.0_0.3_0.0.csv,0.0,0.3,0.0,0.8414527279999999,0.5828627120000001,1.286419438,0.719809708,0.592833126,1.208465401,-0.12164301999999994,0.009970413999999983,-0.024558126378722907,0.1195547234483793,-0.07795403700000003,-4.4664373161066635
Tf_stationary_0.0_0.5_0.0.csv,0.0,0.5,0.0,0.736647646,0.17628290800000002,1.502844934,0.43439691399999997,0.243986418,1.467308766,-0.302250732,0.06770351,0.04702470706595539,0.3061502036357595,-0.035536168000000146,-2.03607244646786
Tf_stationary_0.3_0.0_0.0.csv,0.3,0.0,0.0,0.833056563,-0.20568384,1.663597094,0.845852998,-0.038560566,1.527972405,0.01279643500000005,0.16712327400000002,0.16521834372230546,-0.028228290044677567,-0.1356246889999999,-7.7707222774743565
Tf_stationary_0.4_0.25_0.0.csv,0.4,0.25,0.0,0.731662632,0.34947389799999995,1.5790065709999999,0.564292197,0.628007051,1.4485509319999998,-0.16737043500000004,0.27853315300000003,0.2798979020619886,0.1650779944556757,-0.130455639,-7.474557528382264
Tf_stationary_0.5_0.0_0.5.csv,0.5,0.0,0.5,0.7094200940000001,0.940271623,1.390887723,0.753297944,1.1631058490000001,1.49781628,0.043877849999999996,0.22283422600000014,0.2270891802820237,-0.003295784653183767,0.10692855700000004,6.126555025524057
Tf_stationary_0.8_0.0_0.0.csv,0.8,0.0,0.0,0.84536335,-0.026545875,1.537978425,0.8882072809999999,0.429054602,1.3763689890000002,0.042843930999999946,0.455600477,0.45676095036320014,-0.02787169333690549,-0.16160943599999977,-9.259538612289576
Tf_stationary_1.2_0.0_0.0.csv,1.2,0.0,0.0,0.8487027979999999,0.075344551,1.5268653319999999,0.9340150779999999,0.780603925,1.4161480290000001,0.08531228000000002,0.7052593739999999,0.7083255799480422,-0.054257188693664554,-0.11071730299999971,-6.343634180971112
