event,wall_time_ns,timestamp_iso,mode,trial_number
HANDSTAND_START,1789640766100280778,2026-09-17T20:26:06.100,HandStand,40
HANDSTAND_CALL_RETURN,1789640771138132011,2026-09-17T20:26:11.138,HandStand,40
