event,wall_time_ns,timestamp_iso,mode,trial_number,vx,vy,vyaw
HANDSTAND_MOVE_START,1789621067457495156,2026-09-17T14:57:47.457,HandStandMove,3,0.4,0.25,0
HANDSTAND_MOVE_END,1789621074496751737,2026-09-17T14:57:54.496,HandStandMove,3,0.4,0.25,0
