event,wall_time_ns,timestamp_iso,vx,vy,vyaw
MOVE_START,1786506947249551148,2026-08-12T13:55:47.249,0.4,0.2,0.4
MOVE_CALL_RETURN,1786506947249653997,2026-08-12T13:55:47.249,0.4,0.2,0.4
