relative_time_sec,mean_dx_m,std_dx_m,mean_dy_m,std_dy_m,mean_dz_m,std_dz_m
0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.06064661616161616,-9.618078584735604e-05,0.0006021966688043256,0.002142646425060004,0.0012058212482538764,-0.0023263161623799126,0.0028193529878615215
0.12129323232323232,-0.002225187712038819,0.0011417810540211776,0.002834933991930435,0.002451086572834388,-0.004339854358538108,0.0046190518623821925
0.18193984848484848,-0.005212632589971381,0.003747205146475315,0.0035501278073023883,0.0023264669345206862,-0.003623010698993423,0.007077714726272232
0.24258646464646463,-0.008636170250198735,0.00607352327933485,0.005197180876205349,0.0030541802825635417,-0.00384959907683998,0.006884592039597801
0.3032330808080808,-0.011535191936777635,0.007949376751506004,0.007322209780795401,0.003591442165101724,-0.004367271398948431,0.00607928427950855
0.36387969696969696,-0.01465426876454047,0.008295516419491887,0.010743048099600359,0.0030089066917493813,-0.005001550106388827,0.005533465124733726
0.4245263131313131,-0.018881712676356587,0.007790719400943667,0.015802285646009995,0.0036777291850894943,-0.008601516637358173,0.006223194274192742
0.48517292929292927,-0.02437036176301355,0.008424355335720349,0.02095209976593849,0.004634204267553809,-0.015732010940804314,0.011321667758261338
0.5458195454545455,-0.030718893687192928,0.009776227127139952,0.025732239708897164,0.006297741560475479,-0.02409571714013396,0.016657244057714887
0.6064661616161616,-0.037067425611372315,0.011309210250777243,0.030512379651855825,0.008465460867183573,-0.0324594233394636,0.02225110477887067
0.6671127777777778,-0.04341595753555169,0.012959190630091598,0.03529251959481449,0.010838970707001792,-0.04082312953879323,0.027948592337977675
0.7277593939393939,-0.05019431689807278,0.014252907682922374,0.041246739527706563,0.012203593372477927,-0.0497005506289945,0.03311478871729139
0.7884060101010101,-0.057243633839201544,0.015305286138257887,0.04802029498225928,0.013556373527579364,-0.06550707836347305,0.03274910659095724
0.8490526262626262,-0.06505989810467377,0.01576430537232858,0.053279432955482896,0.01579603493239456,-0.0827860912016846,0.03696830332647575
