relative_time_sec,mean_dx_m,std_dx_m,mean_dy_m,std_dy_m,mean_dz_m,std_dz_m
0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.06064661616161616,0.00013608121639490894,0.0007726975795972346,0.002043626810555507,0.0012613664197447343,-0.0006725327166535044,0.0022534079599066895
0.12129323232323232,-0.001093506210569739,0.0004880412687013381,0.0025609061972947356,0.002393746948727721,-0.0026553960580254317,0.002528714408769983
0.18193984848484848,-0.0028886330675257205,0.0026388888770332523,0.0030060608086899016,0.0023084628335384673,-0.0024982439507333946,0.0032415354274732042
0.24258646464646463,-0.004936675838585288,0.00443387150286934,0.004352445036643462,0.003124717624386827,-0.0034645988219132507,0.0034231208190946163
0.3032330808080808,-0.00689155037751703,0.006226751808522929,0.0062852539344944915,0.0037668185689897125,-0.004564898681892977,0.0037562379107073393
0.36387969696969696,-0.009013661124702917,0.007317730049178888,0.009473889139705118,0.0030476492348184285,-0.0059386345389851,0.004278016511467766
0.4245263131313131,-0.011927894704120059,0.007340791985060645,0.009838734733040278,0.005636091262813687,-0.003319536178181598,0.009889427108144236
0.48517292929292927,-0.015897913873980558,0.007223091758348942,0.001960225501621427,0.016406940425107586,0.00858935237449325,0.023356395333237818
0.5458195454545455,-0.020211334991202676,0.007428910021530308,-0.009925760091529495,0.026747169735693847,0.024610671231517976,0.0360152088685224
0.6064661616161616,-0.024524756108424785,0.007770289447411718,-0.02181174568468041,0.038769123515173746,0.04063199008854268,0.04984589674740306
0.6671127777777778,-0.028838177225646904,0.008230378880417461,-0.03369773127783133,0.051303891099090844,0.056653308945567395,0.06409427167142871
0.7277593939393939,-0.03331761454796785,0.008639304872323474,-0.04444531282489641,0.06533915672245724,0.07305785021000877,0.0781087361154247
0.7884060101010101,-0.038451418768590685,0.008528700094603648,-0.05489467325133039,0.0798676589339605,0.08889668074142837,0.09284885252939665
0.8490526262626262,-0.04339571050550374,0.008605562942658102,-0.06783546402507579,0.0915333390744245,0.10442017665202101,0.10801405276517742
0.9096992424242424,-0.047915081137635714,0.008993885863431233,-0.08211265962733535,0.10182404250130156,0.12062633168041821,0.12244472681534921
0.9703458585858585,-0.05298147101154327,0.008967430657223411,-0.1017934794662676,0.10619798038006836,0.1425136768121218,0.1304584668096154
1.0309924747474748,-0.056868599836329914,0.009575614215784348,-0.12929205235155355,0.10011073572559193,0.1804939036304367,0.1250568109359743
