event,wall_time_ns,timestamp_iso,mode,trial_number
HANDSTAND_START,1789640082435472092,2026-09-17T20:14:42.435,HandStand,29
HANDSTAND_CALL_RETURN,1789640087453105617,2026-09-17T20:14:47.453,HandStand,29
