event,wall_time_ns,timestamp_iso,mode,trial_number
HANDSTAND_START,1789641008321553303,2026-09-17T20:30:08.321,HandStand,43
HANDSTAND_CALL_RETURN,1789641013340971009,2026-09-17T20:30:13.340,HandStand,43
