base_sample_index,base_common_time_ns,frame_name,source_t0_ns,source_t1_ns,interpolation_alpha,source_t0_offset_ms,source_t1_offset_ms,interpolation_gap_ms,large_gap_warning,F_T00,F_T01,F_T02,F_T03,F_T10,F_T11,F_T12,F_T13,F_T20,F_T21,F_T22,F_T23,F_T30,F_T31,F_T32,F_T33
0,1789621565798988000,RL_calflower1,1789621565653748987,1789621566215851806,0.258385135,145.239013,416.863806,562.102819,1,0.148152800,0.986521963,0.069460661,-0.010260431,-0.894739220,0.103786098,0.434362793,1.303759454,0.421298965,-0.126501083,0.898056065,0.089314374,0.000000000,0.000000000,0.000000000,1.000000000
0,1789621565798988000,RL_foot,1789621565653748987,1789621566215851806,0.258385135,145.239013,416.863806,562.102819,1,0.162941963,0.986521963,-0.014965030,-0.010995063,-0.552402451,0.103786098,0.827091796,1.287243057,0.817497009,-0.126501083,0.561868449,0.068715599,0.000000000,0.000000000,0.000000000,1.000000000
0,1789621565798988000,RR_hip,1789621565653748987,1789621566215851806,0.258385135,145.239013,416.863806,562.102819,1,0.095683446,0.993096729,-0.067846765,-0.166354397,-0.995405511,0.095210467,-0.010183212,1.309457054,-0.003653560,0.068509521,0.997643792,0.352966126,0.000000000,0.000000000,0.000000000,1.000000000
0,1789621565798988000,RR_thigh,1789621565653748987,1789621566215851806,0.258385135,145.239013,416.863806,562.102819,1,0.119921887,0.992714525,0.011671861,-0.260968741,-0.757100658,0.099051912,-0.645746215,1.300386181,-0.642197901,0.068602445,0.763462899,0.346433287,0.000000000,0.000000000,0.000000000,1.000000000
0,1789621565798988000,RR_calf,1789621565653748987,1789621566215851806,0.258385135,145.239013,416.863806,562.102819,1,0.022524973,0.992613483,-0.119208718,-0.263918337,-0.707987611,0.100026048,0.699105997,1.437062332,0.705865592,0.068651066,0.705011230,0.185247297,0.000000000,0.000000000,0.000000000,1.000000000
0,1789621565798988000,RR_calflower,1789621565653748987,1789621566215851806,0.258385135,145.239013,416.863806,562.102819,1,0.028454776,0.992613483,-0.117933959,-0.245386387,-0.742043548,0.100026048,0.662847664,1.320678479,0.669747568,0.068651066,0.739408726,0.096059490,0.000000000,0.000000000,0.000000000,1.000000000
0,1789621565798988000,RR_calflower1,1789621565653748987,1789621566215851806,0.258385135,145.239013,416.863806,562.102819,1,0.079698688,0.992613482,-0.091467000,-0.240885659,-0.964278107,0.100026048,0.245282255,1.301797359,0.252619141,0.068651066,0.965127265,0.060216106,0.000000000,0.000000000,0.000000000,1.000000000
0,1789621565798988000,RR_foot,1789621565653748987,1789621566215851806,0.258385135,145.239013,416.863806,562.102819,1,0.022524973,0.992613483,-0.119208718,-0.237977124,-0.707987611,0.100026048,0.699105997,1.289744499,0.705865592,0.068651066,0.705011230,0.036827888,0.000000000,0.000000000,0.000000000,1.000000000
1,1789621565866966000,FL_hip,1789621565653748987,1789621566215851806,0.379320305,213.217013,348.885806,562.102819,1,0.096161593,0.995242776,0.015632758,-0.037781161,-0.995359936,0.096204904,-0.002019306,0.932037961,-0.003514015,-0.015365909,0.999875782,0.352113030,0.000000000,0.000000000,0.000000000,1.000000000
1,1789621565866966000,FL_thigh,1789621565653748987,1789621566215851806,0.379320305,213.217013,348.885806,562.102819,1,0.055834617,0.995237371,0.079904248,0.057264106,-0.692143638,0.096260805,-0.715312452,0.941225489,-0.719597429,-0.015365888,0.694221483,0.350645592,0.000000000,0.000000000,0.000000000,1.000000000
1,1789621565866966000,FL_calf,1789621565653748987,1789621566215851806,0.379320305,213.217013,348.885806,562.102819,1,0.068905784,0.995284174,-0.068271690,0.040248082,-0.586494294,0.095773750,0.804271531,1.093476452,0.807016968,-0.015377872,0.590328021,0.202882377,0.000000000,0.000000000,0.000000000,1.000000000
1,1789621565866966000,FL_calflower,1789621565653748987,1789621566215851806,0.379320305,213.217013,348.885806,562.102819,1,0.072231832,0.995284174,-0.064742515,0.051174524,-0.625958151,0.095773750,0.773953904,0.968296488,0.776504303,-0.015377872,0.629924302,0.134359527,0.000000000,0.000000000,0.000000000,1.000000000
1,1789621565866966000,FL_calflower1,1789621565653748987,1789621566215851806,0.379320305,213.217013,348.885806,562.102819,1,0.093966013,0.995284174,-0.024071126,0.052944704,-0.912617498,0.095773750,0.397438744,0.944691025,0.397869449,-0.015377872,0.917313175,0.102721212,0.000000000,0.000000000,0.000000000,1.000000000
1,1789621565866966000,FL_foot,1789621565653748987,1789621566215851806,0.379320305,213.217013,348.885806,562.102819,1,0.068905784,0.995284174,-0.068271690,0.054074649,-0.586494294,0.095773750,0.804271531,0.929544080,0.807016968,-0.015377872,0.590328021,0.082037562,0.000000000,0.000000000,0.000000000,1.000000000
1,1789621565866966000,FR_hip,1789621565653748987,1789621566215851806,0.379320305,213.217013,348.885806,562.102819,1,0.096161593,0.995287315,0.012479085,-0.130350101,-0.995359936,0.096198023,-0.002324138,0.923095325,-0.003514015,-0.012197557,0.999919451,0.351978977,0.000000000,0.000000000,0.000000000,1.000000000
1,1789621565866966000,FR_thigh,1789621565653748987,1789621566215851806,0.379320305,213.217013,348.885806,562.102819,1,0.040427678,0.996345610,0.075237274,-0.225018627,-0.590549088,0.084566201,-0.802559154,0.913945299,-0.805988861,-0.011985573,0.591809378,0.353133474,0.000000000,0.000000000,0.000000000,1.000000000
1,1789621565866966000,FR_calf,1789621565653748987,1789621566215851806,0.379320305,213.217013,348.885806,562.102819,1,0.065153641,0.995251252,-0.072315748,-0.238359729,-0.567842418,0.096570612,0.817453343,1.079245475,0.820554648,-0.012195981,0.571437980,0.231419531,0.000000000,0.000000000,0.000000000,1.000000000
1,1789621565866966000,FR_calflower,1789621565653748987,1789621566215851806,0.379320305,213.217013,348.885806,562.102819,1,0.068686497,0.995251252,-0.068969047,-0.226297487,-0.607988402,0.096570612,0.788051447,0.946914489,0.790969173,-0.012195981,0.611734471,0.163529342,0.000000000,0.000000000,0.000000000,1.000000000
1,1789621565866966000,FR_calflower1,1789621565653748987,1789621566215851806,0.379320305,213.217013,348.885806,562.102819,1,0.092773044,0.995251252,-0.029457201,-0.224212576,-0.903188373,0.096570612,0.418241249,0.921473920,0.419099401,-0.012195981,0.907858463,0.131280488,0.000000000,0.000000000,0.000000000,1.000000000
1,1789621565866966000,FR_foot,1789621565653748987,1789621566215851806,0.379320305,213.217013,348.885806,562.102819,1,0.065153641,0.995251252,-0.072315748,-0.222878622,-0.567842418,0.096570612,0.817453343,0.905139503,0.820554648,-0.012195981,0.571437980,0.110190166,0.000000000,0.000000000,0.000000000,1.000000000
1,1789621565866966000,RL_hip,1789621565653748987,1789621566215851806,0.379320305,213.217013,348.885806,562.102819,1,0.096161593,0.982627137,0.158733982,-0.074976465,-0.995359936,0.095493620,0.011850308,1.317043185,-0.003514015,-0.159136828,0.987250302,0.353472251,0.000000000,0.000000000,0.000000000,1.000000000
1,1789621565866966000,RL_thigh,1789621565653748987,1789621566215851806,0.379320305,213.217013,348.885806,562.102819,1,-0.008092529,0.981083335,0.193415666,0.018046367,-0.795988504,0.110754280,-0.595093820,1.326083259,-0.605258410,-0.158772293,0.780034393,0.338425744,0.000000000,0.000000000,0.000000000,1.000000000
1,1789621565866966000,RL_calf,1789621565653748987,1789621566215851806,0.379320305,213.217013,348.885806,562.102819,1,0.190866431,0.981596281,-0.006193951,-0.023468950,-0.516717001,0.105834266,0.849590203,1.449508314,0.834609753,-0.158957564,0.527407899,0.178577348,0.000000000,0.000000000,0.000000000,1.000000000
1,1789621565866966000,RL_calflower,1789621565653748987,1789621566215851806,0.379320305,213.217013,348.885806,562.102819,1,0.190937466,0.981596281,0.003353135,-0.017303155,-0.558533051,0.105834266,0.822703350,1.315244078,0.807207299,-0.158957564,0.568461878,0.118135963,0.000000000,0.000000000,0.000000000,1.000000000
1,1789621565866966000,RL_calflower1,1789621565653748987,1789621566215851806,0.379320305,213.217013,348.885806,562.102819,1,0.167812155,0.981596281,0.091145160,-0.018983818,-0.875323255,0.105834266,0.471814762,1.288291622,0.453484919,-0.158957564,0.876974321,0.087893698,0.000000000,0.000000000,0.000000000,1.000000000
1,1789621565866966000,RL_foot,1789621565653748987,1789621566215851806,0.379320305,213.217013,348.885806,562.102819,1,0.190866431,0.981596281,-0.006193951,-0.020120321,-0.516717001,0.105834266,0.849590203,1.270963638,0.834609753,-0.158957564,0.527407899,0.068103241,0.000000000,0.000000000,0.000000000,1.000000000
1,1789621565866966000,RR_hip,1789621565653748987,1789621566215851806,0.379320305,213.217013,348.885806,562.102819,1,0.096161593,0.994150124,-0.049174158,-0.167545405,-0.995359936,0.095869510,-0.008276366,1.308100549,-0.003514015,0.049741973,0.998755939,0.353338198,0.000000000,0.000000000,0.000000000,1.000000000
1,1789621565866966000,RR_thigh,1789621565653748987,1789621566215851806,0.379320305,213.217013,348.885806,562.102819,1,0.109753716,0.993680243,0.023522655,-0.262208521,-0.777736261,0.100591014,-0.620490628,1.298971853,-0.618935592,0.049806849,0.783860988,0.348598207,0.000000000,0.000000000,0.000000000,1.000000000
1,1789621565866966000,RR_calf,1789621565653748987,1789621566215851806,0.379320305,213.217013,348.885806,562.102819,1,0.032761299,0.993556622,-0.108496797,-0.267779305,-0.678915359,0.101789243,0.727127051,1.430089292,0.733485287,0.049838634,0.677875713,0.183409376,0.000000000,0.000000000,0.000000000,1.000000000
1,1789621565866966000,RR_calflower,1789621565653748987,1789621566215851806,0.379320305,213.217013,348.885806,562.102819,1,0.038142936,0.993556622,-0.106723822,-0.250521796,-0.714408097,0.101789244,0.692286706,1.310441519,0.698688957,0.049838634,0.713687530,0.099003805,0.000000000,0.000000000,0.000000000,1.000000000
1,1789621565866966000,RR_calflower1,1789621565653748987,1789621566215851806,0.379320305,213.217013,348.885806,562.102819,1,0.083115429,0.993556622,-0.077049875,-0.246548336,-0.953359940,0.101789244,0.284156012,1.290162231,0.290167518,0.049838635,0.955677226,0.063994367,0.000000000,0.000000000,0.000000000,1.000000000
1,1789621565866966000,RR_foot,1789621565653748987,1789621566215851806,0.379320305,213.217013,348.885806,562.102819,1,0.032761299,0.993556622,-0.108496797,-0.243983994,-0.678915359,0.101789243,0.727127051,1.277196223,0.733485287,0.049838634,0.677875713,0.041139882,0.000000000,0.000000000,0.000000000,1.000000000
2,1789621565934964000,FL_hip,1789621565653748987,1789621566215851806,0.500291056,281.215013,280.887806,562.102819,1,0.094109789,0.995474505,0.013171110,-0.037148400,-0.995553065,0.094157772,-0.003044504,0.931305638,-0.004271257,-0.012825891,0.999908642,0.353249727,0.000000000,0.000000000,0.000000000,1.000000000
2,1789621565934964000,FL_thigh,1789621565653748987,1789621566215851806,0.500291056,281.215013,280.887806,562.102819,1,0.055446644,0.995468891,0.077246213,0.057918971,-0.684754965,0.094217142,-0.722658030,0.940297663,-0.726661599,-0.012825635,0.686875871,0.352024860,0.000000000,0.000000000,0.000000000,1.000000000
2,1789621565934964000,FL_calf,1789621565653748987,1789621566215851806,0.500291056,281.215013,280.887806,562.102819,1,0.060599270,0.995517706,-0.072607471,0.041468894,-0.527861683,0.093699637,0.844146481,1.094105927,0.847165681,-0.012827828,0.531173978,0.205832342,0.000000000,0.000000000,0.000000000,1.000000000
2,1789621565934964000,FL_calflower,1789621565653748987,1789621566215851806,0.500291056,281.215013,280.887806,562.102819,1,0.064152397,0.995517706,-0.069488030,0.052834849,-0.569391733,0.093699637,0.816709430,0.964609061,0.819559310,-0.012827828,0.572850786,0.146894786,0.000000000,0.000000000,0.000000000,1.000000000
2,1789621565934964000,FL_calflower1,1789621565653748987,1789621566215851806,0.500291056,281.215013,280.887806,562.102819,1,0.088990976,0.995517706,-0.032011289,0.054865732,-0.882186983,0.093699637,0.461483873,0.938827839,0.462414384,-0.012827828,0.886571161,0.117163303,0.000000000,0.000000000,0.000000000,1.000000000
2,1789621565934964000,FL_foot,1789621565653748987,1789621566215851806,0.500291056,281.215013,280.887806,562.102819,1,0.060599270,0.995517706,-0.072607471,0.056166595,-0.527861683,0.093699637,0.844146481,0.922256962,0.847165681,-0.012827828,0.531173978,0.097705241,0.000000000,0.000000000,0.000000000,1.000000000
2,1789621565934964000,FR_hip,1789621565653748987,1789621566215851806,0.500291056,281.215013,280.887806,562.102819,1,0.094109789,0.995014744,0.032994346,-0.129735259,-0.995553065,0.094199731,-0.001168656,0.922554645,-0.004271257,-0.032737506,0.999454877,0.352948241,0.000000000,0.000000000,0.000000000,1.000000000
2,1789621565934964000,FR_thigh,1789621565653748987,1789621566215851806,0.500291056,281.215013,280.887806,562.102819,1,0.016520489,0.996105683,0.086603475,-0.224354146,-0.538577746,0.081841555,-0.838592172,0.913596914,-0.842414208,-0.032788622,0.537831987,0.356061362,0.000000000,0.000000000,0.000000000,1.000000000
2,1789621565934964000,FR_calf,1789621565653748987,1789621566215851806,0.500291056,281.215013,280.887806,562.102819,1,0.080753483,0.994977256,-0.059150271,-0.239932119,-0.565294501,0.094595462,0.819447793,1.086115733,0.820926876,-0.032735806,0.570094264,0.245960599,0.000000000,0.000000000,0.000000000,1.000000000
2,1789621565934964000,FR_calflower,1789621565653748987,1789621566215851806,0.500291056,281.215013,280.887806,562.102819,1,0.083608844,0.994977256,-0.055040357,-0.229501238,-0.605543350,0.094595462,0.790170747,0.953541095,0.791408093,-0.032735806,0.610411038,0.178293179,0.000000000,0.000000000,0.000000000,1.000000000
2,1789621565934964000,FR_calflower1,1789621565653748987,1789621566215851806,0.500291056,281.215013,280.887806,562.102819,1,0.099577111,0.994977256,-0.010211694,-0.228121111,-0.901998273,0.094595462,0.421250132,0.927991440,0.420099855,-0.032735806,0.906887269,0.146100848,0.000000000,0.000000000,0.000000000,1.000000000
2,1789621565934964000,FR_foot,1789621565653748987,1789621566215851806,0.500291056,281.215013,280.887806,562.102819,1,0.080753483,0.994977256,-0.059150271,-0.227247508,-0.565294501,0.094595462,0.819447793,0.911585736,0.820926876,-0.032735806,0.570094264,0.125047093,0.000000000,0.000000000,0.000000000,1.000000000
2,1789621565934964000,RL_hip,1789621565653748987,1789621566215851806,0.500291056,281.215013,280.887806,562.102819,1,0.094109789,0.977376071,0.189417483,-0.073550067,-0.995553065,0.093206404,0.013693842,1.316385563,-0.004271257,-0.189863713,0.981801185,0.354901849,0.000000000,0.000000000,0.000000000,1.000000000
2,1789621565934964000,RL_thigh,1789621565653748987,1789621566215851806,0.500291056,281.215013,280.887806,562.102819,1,-0.015330923,0.975712710,0.218516109,0.018922009,-0.830084824,0.109415924,-0.546798135,1.325204062,-0.557427225,-0.189769653,0.808246501,0.336938304,0.000000000,0.000000000,0.000000000,1.000000000
2,1789621565934964000,RL_calf,1789621565653748987,1789621566215851806,0.500291056,281.215013,280.887806,562.102819,1,0.216501542,0.976277716,0.002919497,-0.027905008,-0.481557550,0.104189288,0.870199850,1.438262395,0.849252192,-0.189805344,0.492691268,0.171539115,0.000000000,0.000000000,0.000000000,1.000000000
2,1789621565934964000,RL_calflower,1789621565653748987,1789621566215851806,0.500291056,281.215013,280.887806,562.102819,1,0.216085058,0.976277716,0.013736415,-0.022479903,-0.524447594,0.104189288,0.845044481,1.301776276,0.823566547,-0.189805344,0.534520451,0.116548891,0.000000000,0.000000000,0.000000000,1.000000000
2,1789621565934964000,RL_calflower1,1789621565653748987,1789621566215851806,0.500291056,281.215013,280.887806,562.102819,1,0.185323159,0.976277716,0.111967711,-0.024800337,-0.855406296,0.104189288,0.507371186,1.273620155,0.483668933,-0.189805344,0.854422807,0.087527701,0.000000000,0.000000000,0.000000000,1.000000000
2,1789621565934964000,RL_foot,1789621565653748987,1789621566215851806,0.500291056,281.215013,280.887806,562.102819,1,0.216501542,0.976277716,0.002919497,-0.026357575,-0.481557550,0.104189288,0.870199850,1.255503788,0.849252192,-0.189805344,0.492691268,0.068524716,0.000000000,0.000000000,0.000000000,1.000000000
2,1789621565934964000,RR_hip,1789621565653748987,1789621566215851806,0.500291056,281.215013,280.887806,562.102819,1,0.094109789,0.995049621,-0.031925212,-0.166136926,-0.995553065,0.093923286,-0.007305575,1.307634570,-0.004271257,0.032470889,0.999463574,0.354600363,0.000000000,0.000000000,0.000000000,1.000000000
2,1789621565934964000,RR_thigh,1789621565653748987,1789621566215851806,0.500291056,281.215013,280.887806,562.102819,1,0.098764472,0.994562766,0.033016711,-0.260868625,-0.797241558,0.098938754,-0.595498011,1.298692792,-0.595526943,0.032491875,0.802678004,0.351509047,0.000000000,0.000000000,0.000000000,1.000000000
2,1789621565934964000,RR_calf,1789621565653748987,1789621566215851806,0.500291056,281.215013,280.887806,562.102819,1,0.040657843,0.994435114,-0.097187265,-0.268492130,-0.649642158,0.100211992,0.753606983,1.424442162,0.759152165,0.032497033,0.650101510,0.182435045,0.000000000,0.000000000,0.000000000,1.000000000
2,1789621565934964000,RR_calflower,1789621565653748987,1789621566215851806,0.500291056,281.215013,280.887806,562.102819,1,0.045464370,0.994435114,-0.095033761,-0.252708337,-0.686494925,0.100211992,0.720196595,1.301571556,0.725711889,0.032497033,0.687230847,0.102708213,0.000000000,0.000000000,0.000000000,1.000000000
