event,wall_time_ns,timestamp_iso,vx,vy,vyaw
MOVE_START,1786182745676741711,2026-08-08T19:52:25.676,0.15,0,0
MOVE_STOP,1786182748687165287,2026-08-08T19:52:28.687,0,0,0
